match_id,team_1,team_2,date,year,ground,toss_winner,toss_decision,match_winner,dl_used
464990,Sri Lanka,West Indies,2011-01-31,2011,Sinhalese Sports Club Ground,West Indies,bat,No Result,
473926,New Zealand,Pakistan,2011-02-01,2011,McLean Park,New Zealand,bat,Pakistan,
446967,Australia,England,2011-02-02,2011,Sydney Cricket Ground,England,bat,Australia,
473927,New Zealand,Pakistan,2011-02-03,2011,Seddon Park,New Zealand,field,Pakistan,
464991,Sri Lanka,West Indies,2011-02-03,2011,Sinhalese Sports Club Ground,Sri Lanka,field,Sri Lanka,y
473928,New Zealand,Pakistan,2011-02-05,2011,Eden Park,Pakistan,field,New Zealand,
464992,Sri Lanka,West Indies,2011-02-06,2011,Sinhalese Sports Club Ground,West Indies,field,Sri Lanka,
446968,Australia,England,2011-02-06,2011,Western Australia Cricket Association Ground,Australia,bat,Australia,
433558,Bangladesh,India,2011-02-19,2011,Shere Bangla National Stadium,Bangladesh,field,India,
433561,Australia,Zimbabwe,2011-02-21,2011,"Sardar Patel Stadium, Motera",Australia,bat,Australia,
433564,South Africa,West Indies,2011-02-24,2011,Feroz Shah Kotla,South Africa,field,South Africa,
433566,Bangladesh,Ireland,2011-02-25,2011,Shere Bangla National Stadium,Bangladesh,bat,Bangladesh,
433565,Australia,New Zealand,2011-02-25,2011,"Vidarbha Cricket Association Stadium, Jamtha",Australia,field,Australia,
433567,Sri Lanka,Pakistan,2011-02-26,2011,R Premadasa Stadium,Pakistan,bat,Pakistan,
433568,India,England,2011-02-27,2011,M Chinnaswamy Stadium,India,bat,No Result,
433572,England,Ireland,2011-03-02,2011,M Chinnaswamy Stadium,England,bat,Ireland,
433576,Bangladesh,West Indies,2011-03-04,2011,Shere Bangla National Stadium,Bangladesh,bat,West Indies,
433575,New Zealand,Zimbabwe,2011-03-04,2011,"Sardar Patel Stadium, Motera",Zimbabwe,bat,New Zealand,
433577,Sri Lanka,Australia,2011-03-05,2011,R Premadasa Stadium,Sri Lanka,bat,No Result,
433579,England,South Africa,2011-03-06,2011,"MA Chidambaram Stadium, Chepauk",England,bat,England,
433578,India,Ireland,2011-03-06,2011,M Chinnaswamy Stadium,India,field,India,
433581,New Zealand,Pakistan,2011-03-08,2011,Pallekele International Cricket Stadium,New Zealand,bat,New Zealand,
433583,Sri Lanka,Zimbabwe,2011-03-10,2011,Pallekele International Cricket Stadium,Zimbabwe,field,Sri Lanka,
433585,Bangladesh,England,2011-03-11,2011,Zahur Ahmed Chowdhury Stadium,Bangladesh,field,Bangladesh,
433584,Ireland,West Indies,2011-03-11,2011,"Punjab Cricket Association Stadium, Mohali",Ireland,field,West Indies,
433586,India,South Africa,2011-03-12,2011,"Vidarbha Cricket Association Stadium, Jamtha",India,bat,South Africa,
433589,Pakistan,Zimbabwe,2011-03-14,2011,Pallekele International Cricket Stadium,Zimbabwe,bat,Pakistan,y
433591,Ireland,South Africa,2011-03-15,2011,Eden Gardens,Ireland,field,South Africa,
433593,England,West Indies,2011-03-17,2011,"MA Chidambaram Stadium, Chepauk",England,bat,England,
433594,New Zealand,Sri Lanka,2011-03-18,2011,Wankhede Stadium,Sri Lanka,bat,Sri Lanka,
433597,Bangladesh,South Africa,2011-03-19,2011,Shere Bangla National Stadium,South Africa,bat,South Africa,
433596,Australia,Pakistan,2011-03-19,2011,R Premadasa Stadium,Australia,bat,Pakistan,
433599,India,West Indies,2011-03-20,2011,"MA Chidambaram Stadium, Chepauk",India,bat,India,
